tail_number,engine_uid
D-AIBG,3CM028
D-AIBH,3CM028
D-AIBI,3CM028
D-AIBJ,3CM028
D-AILA,4CM036
D-AILC,4CM036
D-AILD,4CM036
D-AILE,4CM036
D-AILF,4CM036
D-AILH,4CM036
D-AILI,4CM036
D-AILK,4CM036
D-AILL,4CM036
D-AILM,4CM036
D-AILN,4CM036
D-AILU,4CM036
D-AILY,4CM036
YR-LIG,3CM028
B-303T,01P08CM108
CC-BCD,3CM028
CC-COX,3IA007
CC-COY,3IA007
CC-COZ,3IA007
CC-CPF,3IA007
CC-CPI,3IA007
CC-CPJ,3IA007
CC-CPL,3IA007
CC-CPM,3IA007
CC-CPO,3IA007
CC-CPQ,3IA007
CC-CQK,3IA007
CC-CQL,3IA007
5A-WLA,3CM028
5A-WLB,3CM028
5A-WLC,3CM028
5A-WLD,3CM028
604,3CM028
JU-1199,3CM028
EP-SSP,3CM027
EP-SSL,3CM022
B-6456,3IA007
B-6458,01P08CM108
B-6462,3IA007
B-6459,01P08CM108
B-6460,01P08CM108
B-6461,01P08CM108
B-6463,3IA007
B-6465,01P08CM108
B-6466,01P08CM108
B-6472,3IA007
B-6470,01P08CM108
B-6167,6CM044
B-6172,6CM044
B-8017,3IA007
B-6471,01P08CM108
B-6476,01P08CM108
B-6477,01P08CM108
B-8390,01P08CM108
B-8379,01P08CM108
VH-8NP,3IA007
VH-8NQ,3IA007
VH-8NR,3IA007
VH-8NS,3IA007
VH-8NU,3IA007
VH-8NV,3IA007
VH-8NW,3IA007
VH-8NY,3IA007
VH-8NZ,3IA007
OE-LIA,3CM028
9A-CTG,3CM028
9A-CTH,3CM028
9A-CTL,3CM028
9A-CTN,3CM028
A-1102,3CM028
HS-PGN,3IA007
HS-PGX,3IA007
HS-PGY,3IA007
HS-PGZ,3IA007
HS-PPB,3IA007
HS-PPC,3IA007
HS-PPF,3IA007
HS-PPG,3IA007
HS-PPS,3IA007
HS-PPT,3IA007
HS-PPU,3IA007
RA-73219,3CM027
RA-73215,6CM044
RA-73203,3CM027
RA-73222,3CM027
RA-73204,3CM027
RA-73210,4CM036
RA-73221,3CM027
RA-73202,3CM027
RA-73206,3CM027
RA-73200,3CM027
RA-73201,3CM027
C-FYKW,4CM036
C-FZUG,4CM036
C-GARJ,4CM036
C-GARO,4CM036
C-GBHO,4CM036
C-GBHY,4CM036
C-GBHZ,4CM036
C-GBIJ,4CM036
C-GBIM,4CM036
C-GBIN,4CM036
C-GITP,3CM028
C-GITR,3CM028
VH-VHP,3IA007
RP-C9388,3IA007
RA-73682,4CM036
RA-73681,4CM036
RA-73683,4CM036
OY-KBO,3IA007
OY-KBP,3IA007
OY-KBR,3IA006
OY-KBT,3IA006
VH-L7A,3CM028
B-6467,01P08CM108
B-6451,01P08CM108
B-6426,01P08CM108
B-6436,01P08CM108
B-6437,01P08CM108
B-6438,01P08CM108
B-6440,01P08CM108
B-6441,01P08CM108
B-6443,01P08CM108
B-6475,01P08CM108
B-6473,01P08CM108
B-6480,01P08CM108
B-6481,01P08CM108
B-8691,01P08CM108
B-8692,01P08CM108
B-1008,01P08CM108
B-300W,01P08CM108
B-304M,01P08CM108
B-306S,01P08CM108
B-1010,01P08CM108
B-320G,01P08CM108
B-320F,01P08CM108
TC-JLS,3IA007
TC-JLT,3IA007
TC-JLU,3IA007
TC-JLV,3IA007
TC-JLY,3IA007
TC-JLZ,3IA007
CS-TTP,3CM027
CS-TTR,3CM028
CS-TTS,3CM028
TS-IMO,4CM036
TS-IMQ,3CM028
OE-LVG,3CM027
OE-LVK,3CM027
OE-LQT,3CM027
OE-LQZ,3CM027
OE-LKQ,3CM027
OE-LQI,3CM027
OE-LKK,3CM027
OE-LQX,3CM027
OE-LKM,3CM027
OE-LKP,3CM027
OE-LKD,3CM027
OE-LQN,3CM027
OE-LKF,3CM027
OE-LQD,3CM027
OE-LQL,3CM027
OE-LQC,3CM027
OE-LQA,3CM027
OE-LQB,3CM027
OE-LQP,3CM027
OE-LQM,3CM027
OE-LQF,3CM027
OE-LQQ,3CM027
OE-LQR,3CM027
OE-LQS,3CM027
OE-LKL,3CM027
