departure_date_local,timestamp_utc_start,timestamp_utc_end,carrier,flight_number,tail_number,origin_airport,destination_airport,attributed_contrail_km,eef_climatology_terajoules,analyzed_flight_length_km
2024-09-23,1727147609,1727147789,D0,4,GDHLU,EMA,CVG,40.60849663,23.22143978,2135.768696
2024-09-23,1727143421,1727143541,D0,4,GDHLU,EMA,CVG,27.39942134,16.90140288,2135.768696
2024-09-23,1727148399,1727148462,D0,4,GDHLU,EMA,CVG,13.52416491,7.715595682,2135.768696
2024-09-23,1727140697,1727140878,D0,843,GDHLM,BRU,CVG,39.15059366,24.08539819,2228.332501
2024-09-25,null,null,D0,3,GDHMA,NGO,CVG,null,null,3447.798115
2024-09-24,null,null,D0,2,GDHLU,EMA,CVG,null,null,2260.00246
2024-09-02,null,null,D0,968,GDHMC,CVG,EMA,null,null,2073.430336
2024-09-03,null,null,D0,367,GDHLP,JFK,EMA,null,null,1256.091205
2024-09-03,1725352946,1725353420,D0,364,GDHLM,LEJ,JFK,115.6537133,2.7197966,1335.503308
2024-09-03,1725352477,1725352597,D0,364,GDHLM,LEJ,JFK,14.20657402,0.382060157,1335.503308
2024-09-10,null,null,D0,375,GDHLR,CVG,BRU,null,null,2268.945416
2024-09-10,null,null,D0,361,GDHLL,JFK,LEJ,null,null,1349.604936
2024-09-07,null,null,D0,643,GDHLV,ATL,CVG,null,null,374.1925224
2024-09-20,null,null,D0,375,GDHLE,CVG,BRU,null,null,2491.000721
2024-09-19,null,null,D0,372,GDHLE,EMA,CVG,null,null,2003.432795
2024-09-19,null,null,D0,384,GDHLW,LEJ,CVG,null,null,1956.917108
2024-09-20,1726878274,1726878382,D0,384,GDHLL,LEJ,CVG,25.00135349,14.78204479,1108.677023
2024-09-20,null,null,D0,4,GDHMD,EMA,CVG,null,null,1942.411042
2024-09-23,1727092301,1727093610,D0,317,GDHLJ,CVG,LEJ,326.5754908,37.83771643,2603.111305
2024-09-23,1727092057,1727092181,D0,317,GDHLJ,CVG,LEJ,31.25606653,3.413215558,2603.111305
2024-09-23,1727096083,1727096383,D0,375,GDHLE,CVG,BRU,74.85095695,9.678953692,2442.600804
2024-09-23,1727096383,1727097258,D0,375,GDHLE,CVG,BRU,218.1012132,28.38572468,2442.600804
2024-09-15,1726405952,1726406489,D0,392,GDHMD,EMA,CVG,136.0929667,15.17765563,1953.761436
2024-09-15,1726403249,1726403360,D0,392,GDHMD,EMA,CVG,27.29434886,2.141576437,1953.761436
2024-09-15,1726403420,1726404581,D0,392,GDHMD,EMA,CVG,284.6360308,23.33138398,1953.761436
2024-09-15,null,null,D0,370,GDHLR,EMA,CVG,null,null,1937.926483
2024-09-15,null,null,D0,940,GDHLM,BRU,CVG,null,null,2349.901078
2024-09-21,null,null,D0,843,GDHLM,BRU,CVG,null,null,2052.028166
2024-09-01,null,null,D0,701,GDHMB,CVG,BAH,null,null,2534.100793
2024-09-01,null,null,D0,940,GDHLJ,BRU,CVG,null,null,1689.759094
2024-09-01,null,null,D0,312,GDHLP,LEJ,CVG,null,null,1711.863326
2024-09-01,null,null,D0,361,GDHLS,JFK,EMA,null,null,1248.365903
2024-09-01,null,null,D0,362,GDHLS,LEJ,JFK,null,null,1488.675171
2024-09-01,null,null,D0,968,GDHMC,HKG,LAX,null,null,1031.270727
2024-09-20,1726839506,1726839628,D0,701,GDHMC,CVG,BAH,34.35577502,4.331358743,2750.975444
2024-09-20,null,null,D0,2,GDHLW,CVG,NGO,null,null,2169.572218
2024-09-25,null,null,D0,523,GDHLV,CVG,LEJ,null,null,2537.557221
2024-09-25,1727248217,1727248528,D0,366,GDHLO,EMA,JFK,69.21952043,13.31979069,1465.37038
2024-09-25,1727263943,1727264183,D0,2,GDHLU,CVG,NGO,55.81508734,3.132512127,3009.104419
2024-09-26,1727407697,1727407998,D0,2,GDHMC,EMA,CVG,74.63181932,42.78078165,1978.365085
2024-09-24,1727179578,1727179819,D0,709,GDHLX,CVG,BAH,65.28689062,6.983374789,2031.677753
2024-09-24,null,null,D0,1,GDHLU,CVG,EMA,null,null,2053.505547
2024-09-04,1725455179,1725455727,D0,367,GDHLO,JFK,EMA,124.3688982,12.54695688,1398.816677
2024-09-04,1725452556,1725452923,D0,367,GDHLO,JFK,EMA,87.16580271,9.860207649,1398.816677
2024-09-10,1726017990,1726018774,D0,523,GDHLX,HKG,CVG,201.5656996,111.6363141,3828.550108
2024-09-10,1726025376,1726025677,D0,523,GDHLX,HKG,CVG,77.16146222,46.18677333,3828.550108
2024-09-11,1726024654,1726025014,D0,3,GDHLV,NGO,CVG,92.63696741,52.50950612,2701.403638
2024-09-11,1726019970,1726020403,D0,3,GDHLV,NGO,CVG,113.7855908,71.68287818,2701.403638
2024-09-11,1726017033,1726017563,D0,3,GDHLV,NGO,CVG,135.9233366,91.28906321,2701.403638
2024-09-11,1726018104,1726018584,D0,3,GDHLV,NGO,CVG,124.3379465,83.30982196,2701.403638
2024-09-11,null,null,D0,3,GDHLV,CVG,EMA,null,null,2342.300752
2024-09-11,null,null,D0,364,GDHLO,LEJ,JFK,null,null,1351.158807
2024-09-11,null,null,D0,53,GDHLU,PVG,LAX,null,null,1231.08194
2024-09-11,null,null,D0,361,GDHLO,JFK,LEJ,null,null,1448.693667
2024-09-10,null,null,D0,709,GDHLY,CVG,BAH,null,null,2266.577556
2024-09-16,1726543405,1726543585,D0,385,GDHLX,CVG,EMA,50.35441933,28.20507271,2317.2311
2024-09-16,1726547317,1726547800,D0,385,GDHLX,CVG,EMA,125.2715493,58.45275819,2317.2311
2024-09-16,1726542321,1726542567,D0,385,GDHLX,CVG,EMA,67.03192128,37.4464683,2317.2311
2024-09-17,1726551318,1726551684,D0,521,GDHLV,HKG,CVG,95.01045965,58.93947414,2842.974457
2024-09-16,null,null,D0,4,GDHLY,EMA,CVG,null,null,2254.171257
2024-09-17,null,null,D0,1,GDHLW,NGO,CVG,null,null,2681.190193
2024-09-03,1725363935,1725364063,D0,4,GDHLY,CVG,NGO,30.48464151,2.23500465,2366.798333
2024-09-03,1725368195,1725368255,D0,4,GDHLY,CVG,NGO,14.47114071,0.67260526,2366.798333
2024-09-03,1725362016,1725362193,D0,4,GDHLY,CVG,NGO,42.16753977,2.486873085,2366.798333
2024-09-02,1725334767,1725335803,D0,521,GDHMA,HKG,CVG,272.5346666,158.4633502,2755.648385
2024-09-03,1725334834,1725335196,D0,1,GDHLY,NGO,CVG,97.22203699,54.96128548,3822.133414
2024-09-07,1725728671,1725729329,D0,364,GDHLE,MXP,JFK,147.6290169,20.53225712,1549.935428
2024-09-07,1725732328,1725733037,D0,364,GDHLE,MXP,JFK,129.5773637,17.09008509,1549.935428
2024-09-07,1725731670,1725731910,D0,364,GDHLE,MXP,JFK,46.12049223,6.015113935,1549.935428
2024-09-27,1727435135,1727435417,D0,367,GDHLJ,JFK,EMA,78.31122217,7.421303673,1752.776678
2024-09-27,1727440769,1727441017,D0,367,GDHLJ,JFK,EMA,62.47746401,7.699435914,1752.776678
2024-09-24,1727181926,1727182407,D0,4,GDHMC,CVG,NGO,125.3465136,7.260914334,1962.460382
2024-09-24,1727181506,1727181686,D0,4,GDHMC,CVG,NGO,47.40894278,2.788163495,1962.460382
2024-09-24,1727180431,1727180716,D0,4,GDHMC,CVG,NGO,73.38097394,4.631185096,1962.460382
2024-09-24,1727157693,1727158051,D0,51,GDHLY,PVG,LAX,87.51319956,48.90839298,1190.9188
2024-09-09,1725941197,1725941308,D0,4,GDHMB,EMA,CVG,29.09561946,15.83215878,1872.98081
2024-09-10,1725934222,1725934282,D0,1,GDHMA,NGO,CVG,15.27553176,9.21922339,3292.705798
2024-09-10,1725936199,1725936936,D0,1,GDHMA,NGO,CVG,184.3990634,111.6094755,3292.705798
2024-09-10,null,null,D0,366,GDHLM,EMA,JFK,null,null,1671.870783
2024-09-14,1726321718,1726322179,D0,376,GDHLP,LEJ,CVG,116.7020483,12.03400119,1917.985808
2024-09-14,1726319835,1726321468,D0,376,GDHLP,LEJ,CVG,405.3500937,38.027842,1917.985808
2024-09-14,1726322246,1726322307,D0,376,GDHLP,LEJ,CVG,15.28332349,1.642176901,1917.985808
